WS10M,PS,PRECTOTCORR,T2MDEW,ALLSKY_SFC_LW_DWN,WS50M_RANGE,Evaporation_Rate,Sensible_Heat_Flux,date
3.3692,73.0464,2.6312,2.1468,314.054,5.4608,313.6448742824336,62.587457690462635,2019-05-16
3.548,72.9752,0.7288,3.176,316.2412,5.4196,315.85492776077183,65.59942303092382,2019-05-17
2.8884,72.8856,0.6408,0.2712,320.2976,4.6712,319.8276707108956,53.905086777204076,2019-05-18
3.1052,72.994,0.0028,2.1864,295.3556,5.5456,294.97178971009004,57.633630239861155,2019-05-19
3.0908,73.138,0.0008,0.816,293.9864,6.0476,293.56979521624913,57.767048642842006,2019-05-20
3.2808,73.1184,0.0016,-0.0344,296.498,5.958,296.0543998349356,61.492591140951575,2019-05-21
3.1288,73.0312,0.002,-0.154,308.7248,5.9936,308.25935255824356,58.59935299123579,2019-05-22
3.5776,72.9716,0.2256,1.8416,324.978,6.5508,324.54643078150036,66.46439987361148,2019-05-23
3.754,72.9772,2.17,3.4304,332.6404,6.9556,332.240480615326,69.3462417235609,2019-05-24
3.7196,72.7756,2.1128,1.5536,297.2576,5.9836,296.8556024837466,68.9891108591733,2019-05-25
3.372,72.816,0.1244,0.6408,281.12,5.8476,280.7171613562386,62.78536137718732,2019-05-26
3.86,72.8676,0.0016,-1.8996,280.238,6.482,279.7650541332086,72.59626009525402,2019-05-27
3.4032,72.8588,0.0,-4.5924,281.8256,5.9416,281.25765675457814,64.63904098171527,2019-05-28
3.2708,72.8432,0.0,-3.8936,288.4232,6.1616,287.86833431827375,61.94978952312144,2019-05-29
2.8776,72.8368,0.0,-2.5312,293.0428,4.8424,292.5274251203975,54.22332973476931,2019-05-30
2.9472,72.9256,0.0084,-1.8492,301.1584,5.0016,300.6518123111296,55.46275136878228,2019-05-31
3.0176,72.9728,0.4468,-0.7168,310.1568,5.3612,309.67196615747275,56.5881524662721,2019-06-01
3.2672,72.9444,2.3368,2.708,326.37,5.736,325.9595345297406,60.484620279058205,2019-06-02
3.3208,72.9532,0.834,4.1856,316.784,5.5244,316.4205605404052,61.156737695640636,2019-06-03
3.6192,72.924,0.0624,2.8116,308.9352,6.1076,308.5491709811474,66.95719878813179,2019-06-04
3.6916,72.9336,0.0028,-0.2648,302.8392,6.5652,302.3793686944509,69.07568030755083,2019-06-05
3.44,73.0136,5.1068,3.0388,332.0276,7.13,331.618561118661,63.66767733629623,2019-06-06
3.1544,73.0604,1.4012,2.9668,297.4684,5.7508,297.10028565606564,58.434434165915434,2019-06-07
3.1284,72.9504,0.1776,1.9036,301.3456,6.094,300.9469750045467,58.08921213400113,2019-06-08
3.2072,72.8052,0.1328,2.1436,300.5076,5.9832,300.11604273696724,59.38205082121818,2019-06-09
3.1132,72.7012,0.0016,0.7012,299.874,5.4856,299.44593672858167,57.862449895602346,2019-06-10
3.4364,72.7448,2.81,1.1608,317.1352,5.5528,316.6955239240206,63.800726307615264,2019-06-11
3.2224,72.862,2.408,3.7124,325.4628,4.7932,325.0783033668043,59.371691559944104,2019-06-12
3.3612,72.822,0.2668,2.6156,306.7716,5.8276,306.3835449876935,62.14121384611836,2019-06-13
3.3016,72.7296,0.0064,-0.0164,304.0256,5.5152,303.5712617163568,61.5493386694323,2019-06-14
3.7636,72.7,0.0008,-2.6708,302.0128,7.2416,301.47677020660825,70.82178399497617,2019-06-15
3.9868,72.68,0.002,2.4396,341.2512,6.0184,340.81474233504724,73.61043915196252,2019-06-16
4.3844,72.588,2.4764,5.0728,331.9,7.1216,331.5394537826262,80.08388762813006,2019-06-17
3.7248,72.6048,1.5704,4.11,338.0408,5.8312,337.65115682171034,68.28792840643675,2019-06-18
3.6612,72.7056,0.5308,4.002,325.5356,5.4668,325.1578561040924,67.24130979539673,2019-06-19
3.0792,72.788,0.6092,5.9984,332.4928,4.8776,332.15146222311074,56.21153001711893,2019-06-20
3.0412,72.8884,0.1632,6.4956,347.2928,4.7756,346.94686936255346,55.4955644850246,2019-06-21
3.0688,72.9124,5.3,6.4212,350.6664,4.946,350.3155306160313,56.03255339342668,2019-06-22
3.1544,72.9344,8.052,8.2204,346.2588,6.4484,345.9478833930343,57.24448275502581,2019-06-23
3.354,73.0568,16.1524,10.9488,356.9796,6.0088,356.7067371314629,60.38334525620216,2019-06-24
3.332,72.9844,3.7596,10.7732,353.2272,5.1268,352.9544223905692,59.96488685618276,2019-06-25
3.3008,72.7836,2.0008,8.2884,336.884,5.4196,336.58272660387075,59.76298141739612,2019-06-26
3.5172,72.5856,0.0892,6.8376,329.7604,5.8756,329.4386587246871,63.83687261098633,2019-06-27
3.3104,72.5064,0.022,6.4756,312.7716,5.3724,312.45967742928906,60.09561055701997,2019-06-28
2.8152,72.5664,0.0744,6.7452,327.8416,4.7328,327.51993982528785,51.09898179803276,2019-06-29
3.0832,72.642,3.5884,8.8192,336.4504,4.9428,336.15887446051187,55.609716736575734,2019-06-30
2.6844,72.7044,1.916,8.5652,338.4756,4.7636,338.177856059152,48.50209631931708,2019-07-01
2.6172,72.8056,0.974,8.126,344.8148,4.7032,344.5034293187706,47.42768038229366,2019-07-02
2.4416,72.8224,8.9352,10.7352,351.9252,4.16,351.6528235497386,43.84899230809064,2019-07-03
2.5576,72.7136,1.7968,11.96,359.1928,4.2588,358.933913588635,45.66660067853333,2019-07-04
3.0508,72.5468,5.4436,11.7428,358.0892,5.826,357.82784177488895,54.38929002364569,2019-07-05
2.97,72.4192,3.6608,11.8948,349.1628,5.252,348.91019114829703,52.82748246034938,2019-07-06
2.6828,72.5028,6.7176,11.9392,357.3276,4.8404,357.0697477303637,47.76669313160951,2019-07-07
2.91,72.5436,9.5048,12.6848,360.384,4.8268,360.13489229434435,51.70587063304599,2019-07-08
2.9704,72.5008,14.4376,12.5376,357.9784,4.53,357.72884989249843,52.775117541892726,2019-07-09
2.8088,72.4036,9.0,12.4108,353.536,5.2152,353.2877395337209,49.85919379355585,2019-07-10
3.048,72.4456,7.3336,12.4836,350.5264,4.6556,350.28128350732385,54.12283629900219,2019-07-11
3.466,72.556,3.2152,12.1448,356.4052,5.438,356.1510529448386,61.712181595132925,2019-07-12
3.6404,72.5624,8.0124,11.6564,363.578,4.6696,363.3113027453087,64.93425540881674,2019-07-13
3.7156,72.4648,7.4048,10.7488,358.2768,5.1656,357.99972801735555,66.39805537546258,2019-07-14
3.3088,72.4504,12.5596,10.9188,356.3356,5.6016,356.06275207973323,59.08138027886527,2019-07-15
2.2724,72.6712,8.046,10.2972,356.7516,3.9244,356.4683136531941,40.7885067197763,2019-07-16
2.3172,72.7548,6.664,10.4904,358.6372,4.1176,358.3556237742686,41.61213001836194,2019-07-17
2.5272,72.7816,1.9004,11.1188,346.6536,4.1956,346.3912437246371,45.29965352586414,2019-07-18
3.0464,72.8744,0.2384,11.336,349.492,4.3832,349.2308192286577,54.634111514071925,2019-07-19
2.5236,72.9584,0.4576,11.1136,349.3376,3.756,349.07313227751166,45.3458380986757,2019-07-20
2.3616,72.9304,2.3668,11.9672,342.5452,3.348,342.2984150997091,42.29162602866405,2019-07-21
2.7284,72.8348,0.8016,12.1156,349.472,4.3216,349.22237607159025,48.770862302431425,2019-07-22
2.7568,72.7316,2.5064,11.9804,353.8768,4.488,353.6220459471356,49.23202996971674,2019-07-23
2.9568,72.6772,5.744,10.2952,341.346,4.2696,341.0749149946531,53.07791990151524,2019-07-24
2.8784,72.688,10.4856,12.3732,355.068,4.282,354.81812259680527,51.3021218752021,2019-07-25
2.3396,72.6324,6.6868,12.0116,352.7376,3.1448,352.4841239540843,41.71995483913612,2019-07-26
2.9748,72.6808,12.0476,12.3948,351.7736,5.248,351.52634915751116,53.011010269724615,2019-07-27
2.9176,72.8708,1.5172,12.708,350.554,4.5972,350.3120101719,52.07050645140958,2019-07-28
2.3092,72.9348,1.6452,13.0368,350.4464,3.616,350.20900958329986,41.20117593361091,2019-07-29
2.3276,72.8528,2.1924,13.328,356.1684,3.572,355.9311245657047,41.440614370660796,2019-07-30
2.4128,72.7472,2.3188,13.0792,354.4708,3.0444,354.23126654853485,42.93253519355902,2019-07-31
2.8072,72.7248,3.9896,12.5764,363.224,3.6636,362.97135818687474,50.022844791380855,2019-08-01
2.7072,72.6784,6.4288,12.3388,356.1812,4.4884,355.9300413745025,48.25024123307706,2019-08-02
2.1416,72.7044,3.2964,12.1852,352.7104,3.8232,352.45947394143474,38.20380034135247,2019-08-03
2.3732,72.6208,4.5236,12.342,349.2132,4.4696,348.96700025887856,42.26338620215599,2019-08-04
2.3196,72.5064,11.0856,13.2388,355.5904,4.1648,355.3522971501085,41.11461973600936,2019-08-05
2.7244,72.5124,12.6116,13.1188,357.44,4.208,357.199007765848,48.31388915452451,2019-08-06
2.0456,72.5716,3.8696,11.028,355.9984,3.764,355.72754144011134,36.57293588746859,2019-08-07
2.5616,72.5704,2.7944,11.7216,361.2244,3.6528,360.9604292486003,45.68614791806558,2019-08-08
2.3312,72.7408,4.9096,12.4488,357.5492,3.294,357.2986707209343,41.56847519514514,2019-08-09
2.78,72.7908,2.9052,13.308,352.848,4.0552,352.6126674321629,49.45647944231886,2019-08-10
2.4416,72.7928,7.1852,13.1192,350.7724,3.2796,350.5359085986983,43.46615074480296,2019-08-11
2.1068,72.7412,4.98,13.2616,358.8372,3.4168,358.59723652213506,37.46071242133555,2019-08-12
2.4876,72.8116,4.638,13.1976,360.7044,4.1956,360.46230231591926,44.28436688940622,2019-08-13
2.3128,72.9372,3.3188,12.4816,351.2452,3.9176,350.9995525598332,41.346978479647255,2019-08-14
2.5128,72.916,4.0316,13.0476,354.5352,4.0236,354.29518855238194,44.82059701163744,2019-08-15
2.4428,72.814,4.6872,12.4876,353.4644,4.0348,353.2172859742416,43.596366042493244,2019-08-16
3.3916,72.838,11.7856,12.242,353.42,4.5456,353.16939241832307,60.60154674493727,2019-08-17
3.4032,72.966,21.5352,11.7196,346.8892,4.9304,346.63567553750755,61.02738634555626,2019-08-18
2.5468,73.0856,5.6792,10.5604,341.728,4.1652,341.4607972632197,45.93188478011366,2019-08-19
2.458,72.972,0.6276,9.498,325.088,4.4096,324.8174211867659,44.427827418779984,2019-08-20
2.3352,72.9028,4.2512,9.7372,335.7944,3.9868,335.5188272130891,42.132561031160726,2019-08-21
2.1956,72.9428,6.0136,10.7508,351.0392,3.6828,350.7677569220695,39.494070851103835,2019-08-22
2.2308,72.9656,0.8788,11.2332,335.0788,3.2252,334.82688796640946,40.071695820627056,2019-08-23
2.2612,72.9664,0.8168,12.2184,340.3984,4.0404,340.1566968298889,40.47798462620312,2019-08-24
2.34,72.9708,4.9964,12.1924,352.7084,3.0008,352.45757968709927,41.89493492378583,2019-08-25
2.418,73.0292,1.0336,11.2416,349.7696,3.5212,349.50677198737594,43.47093086149951,2019-08-26
2.2948,73.0316,0.3152,11.6212,343.158,3.226,342.9057669194515,41.202394517910406,2019-08-27
2.0012,73.1136,0.1232,11.7152,341.2764,3.4528,341.0269140189125,35.95937458877597,2019-08-28
2.09,73.1204,1.8956,11.9616,343.932,3.4304,343.68413568317743,37.526047352330984,2019-08-29
1.9916,72.9128,2.502,12.588,349.8008,3.3088,349.55765716387793,35.579575177977055,2019-08-30
2.2344,72.7964,12.6988,12.95,347.3484,3.6444,347.11193351758305,39.80300237262768,2019-08-31
2.468,72.9032,5.45,13.0108,342.2256,4.2704,341.99343233898634,44.01943567065698,2019-09-01
2.016,72.8908,1.3768,12.6076,345.618,3.4212,345.3780354576595,36.00214027992228,2019-09-02
2.5624,72.8572,2.784,12.8328,350.2204,3.72,349.9803684370938,45.7027521440888,2019-09-03
2.5444,72.822,2.6596,12.5692,343.1584,3.0016,342.91961593076053,45.40162828697779,2019-09-04
2.126,72.8432,0.97,12.55,347.1128,3.274,346.8709971279602,37.94939886012064,2019-09-05
2.6176,72.7776,4.5528,12.328,342.1996,3.5112,341.9581500205463,46.71875180034077,2019-09-06
2.3144,72.8008,1.5828,11.0764,332.7856,3.4384,332.53311621702113,41.50238195414949,2019-09-07
2.1468,72.9172,0.6332,9.3836,332.5636,3.8052,332.28492139078224,38.789513423245474,2019-09-08
2.2776,72.8124,1.0176,9.5592,324.476,3.6288,324.2069048389558,41.068205230921365,2019-09-09
2.2416,72.7992,0.0904,9.7324,326.0656,3.6956,325.7979355149339,40.38700626281053,2019-09-10
2.2044,72.9376,1.0216,9.796,327.6356,3.8488,327.3676529506217,39.78333413686589,2019-09-11
2.5408,73.0408,0.4164,10.484,326.334,4.6356,326.0776898553722,45.8079205290165,2019-09-12
2.5088,73.0964,1.2488,10.0788,328.12,4.1476,327.85608584819965,45.330184018148195,2019-09-13
2.4844,73.0988,4.1508,10.7384,335.7368,3.9404,335.47700134747174,44.78648573395502,2019-09-14
2.66,73.0496,3.286,10.62,339.0732,5.0136,338.8089963488912,47.939760889993295,2019-09-15
2.6336,72.9228,3.0972,8.1496,324.5848,4.968,324.29211016833966,47.7976890556844,2019-09-16
2.6496,72.9896,2.9712,6.534,320.2104,4.77,319.8921865404069,48.410162609400786,2019-09-17
2.2612,73.234,3.2932,6.4712,313.2992,4.0172,312.98666794985274,41.4614515253425,2019-09-18
2.1604,73.37,0.5516,6.2784,312.1456,2.9948,311.83055671241505,39.71412593231994,2019-09-19
2.0084,73.2608,0.2532,8.8148,319.4924,3.072,319.2154957577966,36.53337874804486,2019-09-20
2.2164,73.1804,3.0524,8.4492,320.4528,3.658,320.16895567974706,40.32499931849159,2019-09-21
1.8728,73.2908,3.2836,8.2664,330.1676,3.1444,329.87194513725075,34.14713918673499,2019-09-22
2.0064,73.376,0.7136,6.714,311.7108,3.1944,311.4043890178594,36.828784030075695,2019-09-23
1.9104,73.4432,0.6148,6.7324,311.3788,2.4552,311.07305571525563,35.096448904419844,2019-09-24
2.2128,73.5344,1.1312,8.9692,316.4792,3.1452,316.20741011959717,40.37968597564102,2019-09-25
2.0592,73.5448,3.9664,9.7724,332.9376,3.0384,332.6649379527653,37.47537887566976,2019-09-26
2.0864,73.38,15.4892,9.1924,341.3364,3.826,341.0471156350294,37.96313281798256,2019-09-27
2.6288,73.2668,18.3552,8.6656,339.656,3.8888,339.358997454533,47.847869483855845,2019-09-28
2.2916,73.2956,6.0304,7.664,337.6896,3.7388,337.37611134364363,41.87557920536713,2019-09-29
2.1744,73.1816,11.2108,7.2688,336.6552,3.3848,336.33516154782586,39.72803439770447,2019-09-30
2.4692,73.1164,2.1592,7.3792,323.2116,4.1432,322.90637546768414,45.05633478326797,2019-10-01
2.1532,73.166,0.3884,6.586,306.7216,3.6692,306.41774939537873,39.42831234011085,2019-10-02
2.3444,73.1744,1.4856,5.8624,303.9148,4.2736,303.6002068332551,43.045746414296666,2019-10-03
2.958,73.1924,0.2308,5.3232,309.0588,4.324,308.7281763825279,54.43066210517011,2019-10-04
2.6108,73.2048,0.0028,3.6604,290.7072,3.3332,290.36265323971327,48.33855062995396,2019-10-05
2.4412,73.2908,0.0064,3.068,286.7388,3.8588,286.38619718799487,45.34858203869125,2019-10-06
2.7192,73.3192,0.0492,4.3296,301.1352,4.3132,300.79277221444283,50.30262794590776,2019-10-07
2.4312,73.2856,0.0104,3.6572,279.9548,4.0516,279.62293110557385,45.06348941165402,2019-10-08
2.47,73.2524,0.094,3.18,284.61,4.1004,284.2624502750203,45.84095317711271,2019-10-09
2.2388,73.2076,0.002,2.3064,268.2296,4.4232,267.88365707654395,41.65637413310265,2019-10-10
2.1724,73.1796,0.0008,2.092,266.2588,4.3572,265.91074087738593,40.43691223493061,2019-10-11
2.0708,73.232,0.0,2.0096,267.7824,3.6736,267.4305295726803,38.58488825840259,2019-10-12
2.2044,73.2876,0.0,1.8704,265.6376,4.1092,265.28547429338573,41.12622599181232,2019-10-13
2.0224,73.3596,0.0,1.9568,268.2388,3.4648,267.8851562365756,37.755962919442645,2019-10-14
2.1836,73.4364,0.0,2.0404,268.6408,3.584,268.2884852108231,40.795668094494665,2019-10-15
2.0668,73.4552,0.0,1.9984,275.6252,3.2492,275.2627685817638,38.629302957610435,2019-10-16
2.2672,73.4224,0.0484,1.7144,271.5236,4.1428,271.16011361634895,42.39969962519466,2019-10-17
2.2936,73.4292,0.0284,1.1744,268.9872,3.7204,268.61459770192664,42.981830139379305,2019-10-18
2.6008,73.466,0.002,1.2032,274.8684,4.0628,274.4883455030011,48.75803399274966,2019-10-19
2.6356,73.3812,0.0344,0.194,271.7364,3.736,271.33574595246984,49.535622825147954,2019-10-20
2.5492,73.2032,0.0008,-2.6092,249.1036,4.0036,248.6632575340637,48.290763405545164,2019-10-21
2.5088,73.0616,0.0,-3.4052,242.0688,4.7708,241.61790580976867,47.57348899459185,2019-10-22
2.6468,73.0288,0.0,-3.0136,246.0752,5.3388,245.62851225201794,50.09507687773822,2019-10-23
2.4528,73.0896,0.0,-3.0684,248.5392,4.6684,248.08641081032275,46.471382185686224,2019-10-24
2.2804,73.1712,0.0,-1.8316,254.5412,4.41,254.1135186134697,43.056113714126276,2019-10-25
2.3272,73.226,0.0,-1.652,249.3304,4.5668,248.9163371909741,43.94356123773921,2019-10-26
2.054,73.2868,0.0,-2.226,247.0028,3.516,246.57697767161397,38.899281907913824,2019-10-27
2.1084,73.3604,0.0,-1.5828,256.8992,3.9264,256.47448080569274,39.87495891882032,2019-10-28
1.8552,73.396,0.0,-1.256,269.6636,3.7504,269.2271247913606,35.061167101977524,2019-10-29
1.9108,73.2444,0.0,-0.8224,273.746,3.7932,273.315159890285,35.97997560756404,2019-10-30
2.1872,73.1752,0.0,-0.816,255.3876,4.082,254.9858194766016,41.144654071938014,2019-10-31
2.1848,73.2308,0.0,-1.624,253.7812,3.6668,253.3605116085188,41.25313032358752,2019-11-01
2.4368,73.31,0.0,-1.3852,276.5908,4.0628,276.1393498331117,46.020651848801016,2019-11-02
2.9748,73.2924,0.0464,-0.4088,286.2768,4.724,285.8380779946518,55.96658837840405,2019-11-03
2.8144,73.1992,0.004,-1.86,254.61,4.3736,254.1814116516271,53.164439077309076,2019-11-04
2.6248,73.0208,0.0,-4.9692,238.064,4.9524,237.57202423537237,50.0354703909696,2019-11-05
2.8088,72.94,0.0188,-5.7724,247.952,4.8736,247.41121124922083,53.644403393593436,2019-11-06
2.9768,73.0392,1.7728,-2.37,294.4748,5.2068,293.9623394282311,56.21496514816942,2019-11-07
3.056,73.22,0.17,-0.448,267.9104,5.6748,267.49878881131997,57.445711961645614,2019-11-08
2.4616,73.2636,0.0032,-2.8464,251.0344,3.9932,250.58368790668632,46.710742783450726,2019-11-09
2.5324,73.1836,0.0,-5.7136,243.4148,4.2308,242.88600465628156,48.51638362981242,2019-11-10
2.7064,73.1324,0.0,-6.618,252.9276,4.2844,252.34350788044253,51.98946131244556,2019-11-11
2.362,73.2816,0.0,-6.6916,251.1196,3.8344,250.53677894059987,45.47872549276034,2019-11-12
2.032,73.4668,0.0,-6.7816,261.5484,3.3336,260.93765273853,39.236927330805734,2019-11-13
2.2868,73.5356,0.1944,-2.7228,287.0856,3.5528,286.57432384630636,43.534976792383524,2019-11-14
2.6864,73.3992,0.0252,-3.03,282.49,4.2244,281.9766571237947,51.10555736194337,2019-11-15
2.7452,73.3384,0.0148,-3.5756,271.098,4.9612,270.5873216036866,52.286508082638065,2019-11-16
2.4204,73.286,0.0008,-5.1188,245.156,4.092,244.64427074088735,46.33249384217573,2019-11-17
2.1356,73.1876,0.0,-7.3596,236.7968,3.8152,236.22164415492466,41.170011867145924,2019-11-18
2.086,73.138,0.0,-7.5792,237.0112,4.1756,236.4268159075813,40.219801912322325,2019-11-19
1.8132,73.21,0.0,-5.978,247.57,3.3484,247.02250889997134,34.784682259093934,2019-11-20
2.2548,73.3636,0.0,-4.7848,254.3176,4.4308,253.79847119154644,43.154424265175884,2019-11-21
2.6648,73.3948,0.096,-2.0268,272.45,4.506,271.9863718252211,50.50403697174573,2019-11-22
3.06,73.29,0.1372,-0.6304,280.4732,5.3048,280.0372006311209,57.61443008872122,2019-11-23
2.85,73.2432,0.0028,-5.548,258.9016,4.444,258.34539129704564,54.611698058401856,2019-11-24
2.8212,73.2788,0.076,-5.5996,257.86,4.3028,257.3041038886466,54.09653945820416,2019-11-25
2.4828,73.26,0.6584,-4.184,282.5964,3.7248,282.04216998481485,47.345001175638934,2019-11-26
4.2788,73.2072,3.4804,-2.312,291.2404,4.744,290.73548570331644,80.97091563833423,2019-11-27
4.264,73.2212,18.9856,-1.67,293.5476,5.9484,293.05953527030385,80.5154199673942,2019-11-28
2.706,73.1604,2.13,-5.9604,251.178,4.8128,250.62318911527518,51.87369434057056,2019-11-29
2.1616,73.1524,0.0,-10.2748,225.368,3.6064,224.69827938249063,42.11309496095741,2019-11-30
2.3452,73.1216,0.0,-10.3144,229.7124,3.8044,229.02787177272063,45.67770211432196,2019-12-01
2.2036,73.1088,0.0,-10.3156,226.0552,3.0968,225.38151331965045,42.91242710179208,2019-12-02
2.6632,73.2056,0.0,-12.104,219.2904,3.8076,218.5488311402245,52.287022157166575,2019-12-03
2.0772,73.46,0.0,-11.7564,228.024,3.366,227.27172692398224,40.86929562728247,2019-12-04
2.0324,73.5912,0.0,-10.4296,232.5592,3.3244,231.86056589721917,39.85695710192996,2019-12-05
1.846,73.5484,0.0,-10.4844,231.2616,2.7524,230.56418639468845,36.188000849383656,2019-12-06
1.7784,73.4388,0.0,-9.7288,230.2204,3.0424,229.56188290312556,34.71100295995675,2019-12-07
2.0548,73.378,0.0,-10.3264,230.552,3.398,229.86439155147346,40.16372017747563,2019-12-08
2.074,73.3124,0.0,-9.5188,240.132,3.6584,239.4551094615603,40.37869209094267,2019-12-09
2.058,73.0596,0.0,-6.8216,244.33,4.168,243.75790670378544,39.524651148508525,2019-12-10
2.3592,72.894,0.066,-7.0352,247.1528,4.5784,246.56562565622224,45.242894125505586,2019-12-11
2.9684,72.806,7.99,-3.616,271.8308,5.4992,271.3173724532445,56.13566899654411,2019-12-12
4.2348,72.6152,36.3384,-4.0248,278.9348,8.0524,278.39350089756624,79.99612339055751,2019-12-13
2.5876,73.0196,3.3204,-6.7912,258.4064,4.2436,257.80259593405435,49.66293788498571,2019-12-14
2.032,73.0148,3.3684,-9.2392,242.0008,3.216,241.33177469781683,39.35866011052982,2019-12-15
2.1692,73.0396,0.0,-12.7504,221.4372,3.812,220.6529804291432,42.59714909956338,2019-12-16
2.4152,73.162,0.0,-14.8948,222.82,3.728,221.89846917425606,47.90186905044243,2019-12-17
2.1616,73.2288,0.0,-12.3112,239.6708,3.506,238.848248715799,42.486203060843366,2019-12-18
2.4732,73.1016,0.0012,-7.5128,254.9876,3.8364,254.3617419203376,47.64969131608437,2019-12-19
2.9728,72.9092,0.1392,-5.6636,266.3772,4.4388,265.80046498054537,56.72952985906902,2019-12-20
3.0504,72.922,0.1804,-6.4804,251.8812,4.8584,251.30492653238204,58.39890702268102,2019-12-21
2.1224,72.998,0.0144,-12.7468,213.4264,3.2436,212.67074559345664,41.653811424943434,2019-12-22
